timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 05:55:36,GG,36,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:38,GG,38,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:39,GG,39,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:41,GG,41,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:42,GG,42,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:44,GG,44,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:45,GG,45,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:47,GG,47,0.001,0.999,3.58,2884.99,0.001,0.001,0.999,24.6,2262.43,0.997,PENDING
2026-04-01 05:55:49,GG,49,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:50,GG,50,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:52,GG,52,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:53,GG,53,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:55,GG,55,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:56,GG,56,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:58,GG,58,0.001,0.999,3.59,2894.98,0.001,0.001,0.999,24.61,2272.42,0.997,PENDING
2026-04-01 05:55:59,GG,59,0.001,0.999,3.67,2894.98,0.001,0.001,0.999,24.61,2312.34,0.996,PENDING
2026-04-01 05:56:01,GG,61,0.001,0.999,3.67,2894.98,0.001,0.001,0.999,24.61,2311.33,0.997,PENDING
2026-04-01 05:56:02,GG,62,0.001,0.999,3.67,2894.98,0.001,0.001,0.999,24.61,2209.64,0.997,PENDING
2026-04-01 05:56:04,GG,64,0.001,0.999,3.14,2894.98,0.001,0.001,0.999,24.61,2362.92,0.997,PENDING
2026-04-01 05:56:05,GG,65,0.001,0.999,3.62,2894.98,0.001,0.001,0.999,24.61,2362.44,0.997,PENDING
2026-04-01 05:56:07,GG,67,0.001,0.999,3.62,2894.98,0.001,0.001,0.999,24.61,2362.44,0.997,PENDING
2026-04-01 05:56:09,GG,69,0.001,0.999,3.62,2894.98,0.001,0.001,0.999,24.61,2362.44,0.997,PENDING
2026-04-01 05:56:10,GG,70,0.001,0.999,3.48,2894.98,0.001,0.001,0.999,24.61,2362.92,0.997,PENDING
